"$71,023 ",Cienega Union Elementary School District / 243
"$70,955 ","Clovis Unified School District / 193,968"
"$70,938 ",Graves Elementary School District / 78
"$70,833 ","Knightsen Elementary School District / 2,603"
"$70,799 ","Los Alamitos Unified School District / 50,324"
"$70,669 ","Denair Unified School District / 8,450"
"$70,590 ","Petaluma City Elementary School District / 32,335"
"$70,556 ","Rincon Valley Union Elementary School District / 38,295"
"$70,191 ","Napa Valley Unified School District / 117,280"
"$70,158 ","Western Placer Unified School District / 51,543"
"$69,818 ","Janesville Union Elementary School District / 3,515"
"$69,679 ","Hope Elementary School District / 15,956"
"$69,583 ",Big Creek Elementary School District / 472
"$69,505 ","Bayshore Elementary School District / 6,092"
"$69,501 ","San Benito High School District / 51,226"
"$69,329 ","Emery Unified School District / 10,497"
"$69,212 ","Goleta Union Elementary School District / 78,423"
"$69,196 ","Pine Ridge Elementary School District / 1,042"
"$68,973 ","Junction Elementary School District / 4,056"
"$68,958 ","Pope Valley Union Elementary School District / 1,009"
"$68,869 ","Dixon Unified School District / 22,194"
"$68,840 ","Name N/A / 84,740"
"$68,750 ","West Covina Unified School District / 60,683"
"$68,594 ","Tracy Joint Unified School District / 76,923"
"$68,511 ","Redlands Unified School District / 127,504"
"$68,500 ","Soulsbyville Elementary School District / 4,210"
"$68,362 ","Salida Union Elementary School District / 20,947"
"$68,084 ","Oxnard Union High School District / 321,283"
"$67,917 ","Shandon Joint Unified School District / 1,896"
"$67,758 ","Hollister School District / 43,847"
"$67,624 ","Fullerton Elementary School District / 118,973"
"$67,560 ","Natomas Unified School District / 73,273"
"$67,510 ","Ojai Unified School District / 21,920"
"$67,250 ",Nuestro Elementary School District / 334
"$67,214 ","Hacienda La Puente Unified School District / 119,479"
"$67,145 ","Soquel Elementary School District / 27,623"
"$67,145 ","Santa Cruz City High School District (9-12) in Soquel / 27,623"
"$67,081 ","Chula Vista Elementary School District / 292,557"
"$67,031 ",Pacific Elementary School District / 654
"$66,985 ","Gold Oak Union Elementary School District / 8,823"
"$66,823 ","Fairfield-Suisun Unified School District / 131,391"
"$66,806 ","Fullerton Joint Union High School District / 254,929"
"$66,719 ","Ventura Unified School District / 120,616"
"$66,703 ","Helendale Elementary School District / 6,313"
"$66,585 ","Tahoe-Truckee Joint Unified School District / 30,275"
"$66,477 ","Jacoby Creek Elementary School District / 2,847"
"$66,178 ","Esparto Unified School District / 5,729"
"$66,111 ","Burbank Unified School District / 104,484"
"$66,080 ",Blake Elementary School District / 210
"$66,058 ","East Nicolaus Joint Union High School District / 2,714"
"$65,954 ","Sierra Unified School District / 9,584"
"$65,945 ","Durham Unified School District / 4,889"
"$65,938 ","Banta Elementary School District / 5,277"
"$65,938 ","Name N/A / 5,277"
"$65,883 ","Solvang Elementary School District / 5,812"
"$65,833 ",Magnolia Union Elementary School District / 112
"$65,759 ","Elk Grove Unified School District / 326,226"
"$65,664 ","Mammoth Unified School District / 9,463"
"$65,646 ","Paso Robles Joint Unified School District / 41,291"
"$65,645 ","Kenwood Elementary School District / 4,041"
"$65,625 ","Centralia Elementary School District / 55,222"
"$65,590 ","Rio Elementary School District / 38,431"
"$65,572 ","Antioch Unified School District / 110,845"
"$65,570 ","Atascadero Unified School District / 36,499"
"$65,569 ","Norwalk-La Mirada Unified School District / 125,814"
"$65,431 ","Twin Rivers Unified School District in Elverta / 3,324"
"$65,431 ","Elverta Joint Elementary School District / 3,324"
"$65,388 ","Berkeley Unified School District / 115,570"
"$65,096 ","Panama-Buena Vista Union Elementary School District / 125,006"
"$65,000 ",Citrus South Tule Elementary School District / 509
"$64,964 ","Whittier Union High School District / 223,988"
"$64,919 ","Colfax Elementary School District / 5,793"
"$64,875 ","Valley Home Joint Elementary School District / 1,667"
"$64,722 ","Central Elementary School District / 37,990"
"$64,654 ","North Monterey County Unified School District / 26,775"
"$64,643 ","Hart-Ransom Union Elementary School District / 4,285"
"$64,583 ","Harmony Union Elementary School District / 4,466"
"$64,540 ","Little Lake City Elementary School District / 34,267"
"$64,492 ","Gold Trail Union Elementary School District / 6,087"
"$64,389 ","Covina-Valley Unified School District / 79,918"
"$64,307 ","Chaffey Joint Union High School District / 407,913"
"$64,293 ","Pleasant Ridge Union Elementary School District / 20,374"
"$64,258 ","Placer Union High School District / 89,490"
"$64,250 ",Gorman Elementary School District / 111
"$64,125 ","Johnstonville Elementary School District / 1,323"
"$64,087 ","Lakeside Union Elementary School District / 40,961"
"$64,079 ","Name N/A / 10,584,859"
"$64,066 ","Foresthill Union Elementary School District / 5,878"
"$63,731 ","Pleasant Valley Elementary School District / 8,253"
"$63,676 ","Upland Unified School District / 74,363"
"$63,656 ","Wheatland Union High School District / 11,345"
"$63,575 ","Brittan Elementary School District / 3,760"
"$63,500 ",Paradise Elementary School District / 809
"$63,481 ","San Leandro Unified School District / 69,203"
"$63,375 ",Fieldbrook Elementary School District / 838
"$63,295 ","Gonzales Unified (9-12) School District / 2,020"
"$63,295 ","Chualar Union Elementary School District / 2,020"
"$63,281 ",Kneeland Elementary School District / 387
"$63,137 ","West Contra Costa Unified School District / 241,831"
"$63,125 ",Jefferson Elementary School District / 173
"$63,100 ","Santa Cruz City High School District / 93,359"
"$63,000 ","Millville Elementary School District / 1,853"
"$62,976 ","Hughes-Elizabeth Lakes Union Elementary School District / 3,339"
"$62,955 ","Lake Elsinore Unified School District / 123,062"
"$62,955 ","Princeton Joint Unified School District / 1,239"
"$62,891 ","Shasta Union Elementary School District / 2,311"
"$62,794 ","Sutter Union High School District / 7,808"
"$62,408 ","Rowland Unified School District / 112,198"
"$62,188 ","Wright Elementary School District / 19,794"
"$62,182 ","Duarte Unified School District / 27,361"
"$62,162 ","Buena Park Elementary School District / 49,447"
"$62,057 ","Temple City Unified School District / 36,238"
"$61,969 ","Santa Cruz City Elementary School District / 64,200"
"$61,919 ","San Miguel Joint Union Elementary School District / 5,978"
"$61,873 ","Hayward Unified School District / 171,972"
"$61,708 ","Linden Unified School District / 11,778"
"$61,639 ","Galt Joint Union High School District / 37,524"
"$61,497 ","West Sonoma County Union High School District / 47,974"
"$61,467 ","San Gabriel Unified School District / 41,687"
"$61,462 ","Oxnard Elementary School District / 127,565"
"$61,450 ","Galt Joint Union Elementary School District / 29,087"
"$61,386 ","Calistoga Joint Unified School District / 7,309"
"$61,343 ","Alpine County Unified School District / 1,202"
"$61,329 ","San Diego City Unified School District / 1,038,456"
"$61,321 ","Sierra Sands Unified School District / 35,295"
"$61,272 ","La Mesa-Spring Valley School District / 134,920"
"$61,250 ","Springville Union Elementary School District / 3,002"
